Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#10-1-1,1
#10-4-1,1
#10-4-2,1
#10-5-1,1
#11-1-1,1
#11-3-2,1
#11-4-1,1
#11-6-1,1
#11-6-2,2
#11-7-1,1
#14-5-1,1
#15-1-1,1
#15-2-1,1
#15-5-1,1
#16-2-2,1
#16-3-1,8
#16-3-2,1
#16-9-1,6
#17-1-1,2
#17-1-2,1
#17-2-1,3
#17-3-1,1
#17-4-1,1
#2-1-1,1
#2-1-2,1
#2-2-1,1
#2-2-2,1
#2-4-1,1
#2-a-1,1
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-6-1,1
#3-7-1,1
#3-7-2,1
#3-8-1,1
#3-b-1,5
#4-1-1,2
#4-1-2,3
#4-2-1,1
#4-2-2,1
#4-3-1,2
#4-5-1,5
#4-6-1,3
#4-a-1,12
#4-c-1,4
#5-3-2,4
#5-5-1,6
#5-5-2,4
#5-6-1,2
#6-1-1,3
#6-2-1,3
#7-1-1,2
#7-2-1,1
#7-3-1,1
#7-b-1,1
#8-1-1,1
#8-2-1,1
#8-3-1,3
#8-5-2,1
#9-2-1,2
#9-2-2,3
#9-c-1,3
