Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Proportion of women in ministerial positions,,,Percent,2020,21.2
2016,Normal value,Units,Proportion of women in ministerial positions,,,Percent,2020,23.1
2017,Normal value,Units,Proportion of women in ministerial positions,,,Percent,2020,26.3
2018,Normal value,Units,Proportion of women in ministerial positions,,,Percent,2020,25.4
2019,Normal value,Units,Proportion of women in ministerial positions,,,Percent,2020,25.5
2020,Normal value,Units,Proportion of women in ministerial positions,,,Percent,2020,26.0
2015,Normal value,Units,Proportion of women in ministerial positions,,Female,Percent,2020,21.2
2016,Normal value,Units,Proportion of women in ministerial positions,,Female,Percent,2020,23.1
2017,Normal value,Units,Proportion of women in ministerial positions,,Female,Percent,2020,26.3
2018,Normal value,Units,Proportion of women in ministerial positions,,Female,Percent,2020,25.4
2019,Normal value,Units,Proportion of women in ministerial positions,,Female,Percent,2020,25.5
2020,Normal value,Units,Proportion of women in ministerial positions,,Female,Percent,2020,26.0
