Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2016,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2017,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2018,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2019,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,47.7
2020,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,47.7
2021,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,47.7
2015,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2016,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2017,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2018,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2019,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,79.1
2020,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,79.1
2021,A,0,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,79.1
