Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Proportion de femmes occupant une fonction ministérielle,,,PT,2020,21.2
2016,A,0,Proportion de femmes occupant une fonction ministérielle,,,PT,2020,23.1
2017,A,0,Proportion de femmes occupant une fonction ministérielle,,,PT,2020,26.3
2018,A,0,Proportion de femmes occupant une fonction ministérielle,,,PT,2020,25.4
2019,A,0,Proportion de femmes occupant une fonction ministérielle,,,PT,2020,25.5
2020,A,0,Proportion de femmes occupant une fonction ministérielle,,,PT,2020,26.0
2015,A,0,Proportion de femmes occupant une fonction ministérielle,,F,PT,2020,21.2
2016,A,0,Proportion de femmes occupant une fonction ministérielle,,F,PT,2020,23.1
2017,A,0,Proportion de femmes occupant une fonction ministérielle,,F,PT,2020,26.3
2018,A,0,Proportion de femmes occupant une fonction ministérielle,,F,PT,2020,25.4
2019,A,0,Proportion de femmes occupant une fonction ministérielle,,F,PT,2020,25.5
2020,A,0,Proportion de femmes occupant une fonction ministérielle,,F,PT,2020,26.0
